,jobs,time_publication,description,Company,Location
27,Back end software engineer, 30+ jours,"Entreprise
Cbrobotics est une entreprise marocaine oeuvrant dans la robotique et l’intelligence artificielle. C’est une start-up a très fort potentiel ayant déjà débloqué des fonds d’investissements de mastodontes de l’AI aux Etats-Unis.
Poste
Le back end software engineer aura les tâches suivantes :
Participer aux brainstorming et à l’élaboration d’idées au niveau des algorythmes et technologies.
Analyset des datas et assurer la maintenance et la résolutions d’erreurs.
Très bonne expérience en Python
Docker Linux Kubernets Docker Compose Experience with Flask Gunicorn et Nginx
Profil
Bac plus 5 idéalement de formation ingénieur en informatique avec une spécialité en développement informatique.",Cbrobotics,Casablanca
28,Shift Support, 30+ jours,"As a member of IOC team, the Shift support Officer provides day to day support for the implementation, training, consistent use and continual optimization of IFS CMMS and other support tools necessary to fulfil the goals and objectives of the Maintenance and Repair Department.
In addition, the Shift Support will extract data needed by stakeholders to drive continuous improvement in maintenance and reliability of the physical assets
ACCOUNTABILITIES:
Coordinate with IOC team and ensure the necessary support on solving technical issues
Provide day to day support on the use IFS for daily tasks
Query and publish routine and on-demand reports and analysis that will support continuous improvement in the maintenance and reliability of equipment assets
Input EQU data through adherence to policies, procedures and guidelines or consistent internal practices
Collaborate with internal and external stakeholders for the continuous improvement and optimization of maintenance and reliability processes impacted by IFS
Work with other super-user's and subject matter experts across the company to improve IFS CMMS utilization, drive consistency, and improve functionality
Supports special projects in regard to the input, update and improvement of IFS through data entry and optimization
Supports the ongoing maintenance and development of appropriate procedures, guidelines, and training tools
Ensure weekly stops report with the necessary analysis in coordination with shift engineer
Ensure the equipment early monitoring, act and report any warning before the failure occurred
Ensure a daily and weekly performance shift report and Problem solving of recurrent issues in coordination with concerned stakeholders,
Ensure a fluent communication and information flow with PCOs, QCCs, PCIs, RCCs, IOC SUP, OPS SUP, RCO, AS, planner, Vertical and horizontal sup, subcontractors, ..
Support site technicians if requested by shift engineer
Perform cross-kaizens with main stakeholder
SAFETY
Understand and follow the company’s safety system
Protect myself and those around you from unsafe acts.
Actively participate in contributing to zero accidents.
Report any unsafe acts.
Ensure safe access to Automated area following the process.
LEADERSHIP
Follow the company Code of Conduct
Live the Company Values.
Able to manage stress and dealing with many stakeholders in parallel.
FUNCTIONAL EXCELLENCE
Maintains a clean and organized work environment
Has a continuous improvement mindset
Follows directions and meets timelines as required
QUALIFICATION
High school degree / GED or equivalent / College degree preferred/Engineer
Intermediated skills Microsoft Office Suites
5 to 7 years’ experience as electromechanical technician or control room coordinator
Knowledge:
Strong computer skills including but not limited to: IFS CMMS (or similar computerized maintenance management system or Enterprise Asset Management Application) such as -SQL database MS Office Products
Knowledge or understanding of typical Port terminal Assets
Demonstrate initiative with the ability to work individually and in work groups
Strong background in PLC (siemens, Omron, ..)
Ability:
Works shifts in a 24/7 operational environment
Ability to work in front of a computer screen for long periods of time",Maersk,Tanger
29,Product engineer, 29 jours,"Drive Your Career


Lear Corporation is the leading Tier 1 automotive supplier serving all of the world's major automotive manufacturers with our world-class automotive seating and automotive electrical products. Our products are developed and produced by a diverse, talented team of more than 165,000 people. With operations in 38 countries, Lear operates in every major automotive manufacturing region in the world. For our globally positioned and successful teams, we are looking for dedicated talents with zest for action and enthusiasm. If you love challenges, want to experience development opportunities unrestrained, and want recognition that pays off, then you've come to the right place with Lear.
The product’s engineers missions will be :
Create, update and audit the Bill of Materials (BOM)
Create, update and follow up the product engineering documentation.
Analyze the project’s inputs : technical data / drawings / specifications...
Launch new projects / changes
Ensure good and continuous contact with customers and engineering centers.
Guarantee good implementations of new projects/ changes in the shopfloor.
Ensure documentation creation, update and availability for production

To be successful in this position :
Education: Industrial / Chemical Engineer.
At least 1 year of experience preferably in the automotive industry
Proficient with Microsoft Office
AutoCAD / CATIA Basics
Bilingual (French-English)
Customer service oriented
Capacity of analysis, communication, and organizational skills, strictness in achieving goals/ deadlines, synthesis, and decision abilities.
Work location :
Tangier TFZ / Trim plant
Lear Corporation is an Equal Opportunity Employer, committed to a diverse workplace.
Applicants must submit their resume for consideration using our applicant tracking system. Due to the high volume of applications received, only candidates selected for interviews will be contacted. Unsolicited resumes from search firms or employment agencies, or similar, will not be paid a fee and will become the property of Lear Corporation.",Lear Corporation,Tanger
30,Software Validation Engineer, 30+ jours,"Les entreprises et les gouvernements comptent sur Thales pour apporter de la confiance aux milliards d’interactions numériques qu’ils établissent avec les utilisateurs. L’Activité Mondiale Identité & Sécurité Numériques (DIS) fournit des technologies et services (des logiciels sécurisés en passant par la biométrie ou encore le cryptage), qui permettent aux entreprises ainsi qu’aux gouvernements de vérifier des identités, et de protéger les données afin qu’elles restent sûres.
FUNCTION: Software Validation Engineer
You write and execute the validation test plan per validation strategy and specifications
You participate in defining functional and non-functional tests, including (where appropriate) Security, Performance, Load, Robustness, High Availability, Accuracy, and UX (User Experience)
You build the strategy for validation in the case where no SQA leader is present on the project
You identify, record, thoroughly document/track all software defects (bugs) and work with team members to support and help identify root cause.Upon resolution, you perform thorough regression testing
You report test metrics/results and provide appropriate status updates to the project team and stakeholders
You are vigilant about the quality of the delivery, pushing development team when needed
You practice and follow Thales DIS QA process and defined best practices
You help prepare the Acceptance Test Plan and may execute acceptance testing with the customer when appropriate
You create and issue the final SQA test report
Where applicable, you may perform SQA Leader responsibilities for smaller projects including communicating QA progress updates, metrics, and risks to Product Leader/Mgr
> Education:
Bachelor’s degree or higher in Computer Science or related field
> Experience Level:
3-5 years of experience as Quality Assurance Engineer
> Competences:
Technical / Functional Skills:
Strong knowledge of Software QA methodologies, tools and processes
Work experience in software development
Knowledge of a programming / scripting language (Java, C#)
Hands-on experience with automated testing tools (JMeter, SoapUI, Selenium)
Solid documentation skills
Solid knowledge in the design, development and documentation of Test Cases, Plans and Reports
Strong understanding of Quality Metrics and STLC (Software Test Life Cycle)
Solid knowledge of Defect & Test Case Management Tools
Solid knowledge of SQL and scripting
Experience with performance and security testing
Knowledge of Web technologies and applications servers
Knowledge of data communication/networking protocols
Work experience with JIRA / Confluence
Knowledge on development tool including Jenkins, Mercurial, and etc.
Fluent English and local language
ISTQB® Certified Tester – Foundation Level is a ‘plus’
Behavioral skills:
Customer oriented
Good communication style
Good investigative and problem-solving skills with attention to detail
Creative
Autonomous
Team worker
Able to work under pressure and in a fast paced environment
Innovation, passion, ambition : rejoignez Thales et créez le monde de demain, dès aujourd’hui.",Thales,Rabat
31,Data Engineer Senior, 14 jours,"Description de l'entreprise

Passionné par le digital, les données, l'IoT ou l'IA et désireux de rejoindre une équipe dynamique et ambitieuse à taille humaine ?
Depuis plus de 15 ans, nous conseillons les entreprises et les administrations et les accompagnons dans la mise en œuvre de leurs projets de transformation en Espagne et à l'étranger., autour de l'Europe et outre-mer, avec des opérations dans le monde entier avec près de 6 000 consultants à ce jour.
Pour ce faire, nous nous appuyons à la fois sur le levier technologique et sur la force de notre ADN fondé sur l'intelligence collective, l'agilité et l'esprit d'entreprise.
Avec une présence sur les cinq continents et plus de 3 500 collaborateurs, notre objectif est d'atteindre plus d'un milliard d'euros de chiffre d'affaires d'ici 2024. L'innovation est au cœur de notre développement, et nous sommes impliqués dans des domaines liés aux mutations technologiques des grands groupes, tels que le Big Data, l'IoT, la Blockchain et l'Intelligence Artificielle.
Talan recherche un candidat désireux de travailler dans le domaine bancaire en tant qu'ingénieur Data de la banque d'entreprise, principalement.
Nous recherchons une personne avec l'engagement de rester à long terme avec nous, avec un précédent parmi les expériences dans le secteur de +6 ans d'expérience professionnelle, visant à commencer un nouveau défi international basé à Malaga, au sud de l'Espagne.

Description du poste

Nous avons lancé un vaste programme de transformation autour des données et de l'Intelligence Artificielle, dans un contexte de transformation globale du département informatique.
En tant qu'ingénieur data, vous travaillerez au sein de l'équipe dataviz et créerez des jeux de données personnalisés pour le reporting.
Participer aux cérémonies agiles SAFE et assister l'équipe dans la mise en œuvre des fonctionnalités demandées par le client.
Échange de bonnes pratiques
Communauté DATAENG
Veille technologique et partage

Qualifications

Ce qu'il faut construire :
Création, industrialisation et automatisation des flux de données pour le datalake.
Interaction avec les différentes sources de données :
Bases de données
Fichiers
API
Pipeline de consolidation à partir de flux d'événements
Pipelines d'anonymisation des données
Conformité aux principes IS et aux doctrines DATAOPS
Ce pour quoi il faut courir :
Garant de la QOS des flux de données
Mise en œuvre de l'observabilité, de la surveillance, des alertes
Aider et résoudre les incidents (résoudre les incidents, trouver les causes profondes, identifier les problèmes, écrire des REX, gérer la communication avec les clients)
Rédiger la documentation technique d'exploitation
Participer à la réduction/maîtrise de la dette en améliorant l'existant et en adoptant de nouvelles pratiques.

Informations supplémentaires

Nous recherchons un profil professionnel avec :
Minimum 6 ans d'expérience dans des rôles similaires.
Niveau intermédiaire d'anglais ou d'espagnol sur le lieu de travail.
Connaissance de :
Du domaine des DATA décisionnelles
Du domaine bancaire
Travail en équipe : collaborer avec les membres de l'équipe de manière ouverte et internationale.
Autonomie et proactivité
Outils technologiques avec lesquels vous serez amené à travailler :
Spark
Python
AWS:
S3, Glue, Athena",Talan,Marrakech
32,Offre: Consultant data analytics bi - freelance, 30+ jours,"Consultant data analytics bi - freelance20-01-2022RabatWelinkRekrute.com

Consultant data analytics bi - freelance

Pour le compte de notre client, multinationale spécialisée dans l'externalisation de la relation client, Nous cherchons un Consultant Data... Secteur d'activité : Informatique Fonction : Informatique / Electronique, Multimédia / Internet Expérience requise : De 5 à 10 ans Niveau d'étude demandé : Bac +5 et plus Type de contrat proposé : Freelance
» appliquer
»
»

Consultant data analytics (cloudera) - freelance
Nous cherchons un ConsultantData ... Secteur d'activité : Informatique Fonction : Informatique / Electronique, Multimédia / Internet Expérience requise : De 5 à 10 ans Niveau d'étude demandé : Bac +5 et plus Type de contrat proposé : Freelance ...

Consultant - analytics / ia / data scientist (h/f)
Vous participerez à des missions variées visant à accompagner nos clients dans les projets de transformation data et dans... Secteur d'activité : Conseil / Etudes Fonction : Informatique / Electronique, Expérience requise : De 3 à 5 ans Niveau ...

Consultant technico fonctionnel qlik
Critères de l'annonce pour le emploi : Consultant Technico Fonctionnel Qlik Métier : Informatique, nouvelles technologies Secteur d´activité : Informatique, SSII, Internet Type de contrat : Freelance Région : Casablanca Ville : Casablanca Niveau ...

Consultant senior big data anglophone
Nous avons besoin d'un consultant Senior Data Engineer avec la description de emploi suivante : Essential Job Functions (note; description... Secteur d'activité : Informatique Fonction : , Expérience requise : De 5 à 10 ans Niveau d'étude demandé ...

Consultant senior fttx - casablanca
Critères de l'annonce pour le emploi : Consultant Senior FTTx - Casablanca Métier : Informatique, nouvelles technologies Secteur d´activité : Services autres Type de contrat : Freelance Région : Casablanca Ville : Casablanca Niveau d'expérience ...

Consultant bi confirmé
BI Confirmé Afin de renforcer sa croissance, TW Maroc recherche un Consultant BI confirmé qui devra intégrer l'équipe « DataAnalytics Team » et garantir les missions suivantes : Installation, Configuration, Tests des bases de données Administration ...",,Rabat
33,جامعة محمد السادس متعددة التخصصات تعلن عن توظيف عدة مناصب, 30+ jours,"Université Mohammed VI Polytechnique UM6P recrute 40 Profils
جامعة محمد السادس متعددة التخصصات تعلن عن توظيف
L’Université Mohammed VI Polytechnique UM6P recrute Plusieurs Profils:
Acheteur.
Administrateur Plateformes Académiques.
Agri Data Scientist.
Agronomy & Business Dev Manager.
Animateur HSE.
Assistant chargé d’études socio-économiques.
Chargé (e) du Système d’informations de gestion des étudiants.
Chargé de coordination Executive Formation.
Chargé de Développement Capital Humain.
Chargé des Affaires administratives et logistiques.
Chargée d’accueil.
Concepteur Pédagogique.
Data Engineer.
Data Science Engineer Senior.
Digital Developer/Coordinator.
Engagement & Community Management Lead.
Entrepreneurship Program Manager.
Gouvernant(e).
GSM Program Officer.
Head of studies in the UM6P Faculty of Medical Sciences.
Infirmier Polyvalent Benguerir.
Infirmier Polyvalent Rabat.
Ingénieur Data management.
Interactive Experience Analyst.
Intern in Remote Sensing and GIS applied to precision agriculture.
Junior Consultant Business Automation.
Marketing Manager.
Opérateur technique des travaux.
Operations Manager.
PMO Assistant Technique de Projet.
Project Management Officer.
Responsable Département Academic Quality.
Responsable Département Outreach & Admission.
Sales and Business Development Manager.
School Assistant – UM6P Faculty of Medical Sciences (UM6P-FMS).
Senior Consultant SAP S4H FICO.
Senior Instructional Designer.
Software Developer.
Superviseur Fluide.
Technicien(ne) préparateur(trice) d’échantillons géologiques.
L’Université Mohammed VI Polytechnique est une institution orientée vers la recherche appliquée et l’innovation et tournée vers l’Afrique, qui ambitionne de se placer parmi les universités mondialement reconnues dans ces domaines.
Engagée dans le développement économique et humain, l’Université met la recherche et l’innovation au service du développement du continent africain. Un positionnement qui lui permet de consolider la position avant-gardiste du Maroc dans ces domaines à travers la mise en place d’une approche partenariale unique et le renforcement de l’offre de formation en compétences pertinentes pour l’avenir de l’Afrique.
Située dans la commune de Benguerir, à proximité de Marrakech, et logée au cœur de sa Ville Verte, l’Université Mohammed VI Polytechnique ambitionne de rayonner à l’échelle nationale, continentale et internationale.
Mission:
L’Université Mohammed VI Polytechnique est financée par les produits de la recherche et de la formation continue, les frais de scolarité, et les produits de ses actifs immobiliers dans ses différents campus (« land-grant University »).
Ayant pour mission principale le développement du savoir, de la science et de la technologie, l’Université ambitionne de:
Assurer le développement des compétences et du savoir par le biais d’une formation complète, axée sur la recherche, l’innovation et l‘entrepreneuriat;
Promouvoir la recherche et relever les plus grands défis scientifiques et technologiques du futur, notamment à travers des living labs destinés aux applications pratiques à échelle réelle;
Développer des partenariats durables avec les plus grandes universités, institutions et centres de recherche nationaux et internationaux, dans le but de promouvoir l’échange de savoir et d’expertise;
Partager avec les étudiants les valeurs de responsabilité sociale et de développement durable, dans l’objectif de donner naissance à une nouvelle génération de leaders compétents, soucieux de leur environnement et outillés pour adresser les enjeux d’aujourd’hui et de demain.
Université Mohammed VI Polytechnique UM6P recrute Plusieurs Profils
:Consultez le poste qui vous intéresse pour plus de détails
1-Acheteur
2-Administrateur Plateformes Académiques
3-Agri-Data Scientist
4-Agronomy & Business Dev Manager
5-Animateur HSE
6-Assistant chargé d’études socio-économiques
7-Chargé (e) du Système d’informations de gestion des étudiants
8-Chargé de coordination Executive Formation
9-Chargé de Développement Capital Humain
10-Chargé des Affaires administratives et logistiques
11-Chargée d’accueil
12-Concepteur Pédagogique
13-Data Engineer
14-Data Science Engineer Senior
15-Digital Developer/Coordinator
16-Engagement & Community Management Lead
17-Entrepreneurship Program Manager
18-Gouvernant(e)
19-GSM Program Officer
20-Head of studies in the UM6P Faculty of Medical Sciences (Medicine and Pharmacy)
21-Infirmier Polyvalent Benguerir
22-Infirmier Polyvalent Rabat
23-Ingénieur Data management
24-Interactive Experience Analyst
25-Intern in Remote Sensing and GIS applied to precision agriculture
26-Junior Consultant Business Automation
27-Marketing Manager
28-Opérateur technique des travaux
29-Operations Manager
30-PMO – ASSISTANT TECHNIQUE DE PROJET
31-Project Management Officer
32-Responsable Département Academic Quality
33-Responsable Département Outreach & Admission
34-Sales and Business Development Manager
35-School Assistant – UM6P Faculty of Medical Sciences (UM6P-FMS)
36-Senior Consultant SAP S4H FICO
37-Senior Instructional Designer
38-Software Developer
39-Superviseur Fluide
40-Technicien(ne) préparateur(trice) d’échantillons géologiques
Tags:
Acheteur
Administrateur Plateformes Académiques
Agri Data Scientist
Alwadifa Maroc
Animateur HSE
Chargée d’Accueil
Concours 2022
Concours 2022 Alwadifa
Concours de recrutement
Concours de recrutement au Maroc
concours pour le recrutement
dimajadid
dimajadid alwadifa
Dimajadid Alwadifa Maroc
Marketing manager
Opérateur technique des travaux
PMO Assistant Technique de Projet
Software Developer
Superviseur Fluide
Technicien(ne) préparateur(trice) d’échantillons géologiques
UM6P
UM6P recrute 40 Profils
Université Mohammed VI Polytechnique concours de recrutement
Université Mohammed VI Polytechnique recrute
جامعة محمد السادس متعددة التخصصات
جامعة محمد السادس متعددة التخصصاتمباراة توظيف
مباراة توظيف",,Maroc
34,Développeur FrontEnd Confirmé, 9 jours,"Description de l'entreprise
Capgemini est un leader mondial, responsable et multiculturel, regroupant 350 000 personnes dans plus de 50 pays. Partenaire stratégique des entreprises pour la transformation de leurs activités en tirant profit de toute la puissance de la technologie, le Groupe est guidé au quotidien par sa raison d’être : libérer les énergies humaines par la technologie pour un avenir inclusif et durable. Fort de 55 ans d’expérience et d’une grande expertise des différents secteurs d’activité, Capgemini est reconnu par ses clients pour répondre à l’ensemble de leurs besoins, de la stratégie et du design jusqu’au management des opérations, en tirant parti des innovations dans les domaines en perpétuelle évolution du cloud, de la data, de l’Intelligence Artificielle, de la connectivité, des logiciels, de l’ingénierie digitale et des plateformes. Le Groupe a réalisé un chiffre d'affaires de 18 milliards d'euros en 2021.
Get The Future You Want* | www.capgemini.com

Capgemini, le futur que vous voulez
Description de la mission
Dans le cadre de son développement et le lancement de nouvelles activités au Maroc, CAPGEMINI recrute des développeurs avec expérience de 3 ans minimum en Front-end/ Angular.
Ce recrutement, stratégique, offrira aux ingénieurs recrutés, la possibilité :
D’intégrer un groupe de Renom à l’échelle internationale,
De travailler sous des méthodologies AGILES,
De bénéficier de formations et certifications octroyées par le Groupe,
D’utiliser et se perfectionner dans de nouvelles technologies uniques au Maroc.

Dans ce sens, nos futurs collaborateurs, doivent :
Avoir une bonne connaissance de la culture CAPGEMINI et ses valeurs,
Avoir un esprit créatif et force de proposition,
Rechercher un environnement stable où ils vont pouvoir s’épanouir professionnellement.

Vos missions seront les suivantes :
Participer à la mise en œuvre d'applications web et/ou mobiles ou à l'amélioration et refonte d'applications existantes,
Assurer la compatibilité de fonctionnalités développées avec les différents navigateurs,
Assurer la veille technologique au sujet des dernières tendances en matière de développement d'applications web et mobiles.
Profil
Suite aux différentes missions et afin de pouvoir les accomplir dans les meilleures conditions, Software Engineer Frontend/Angular doit :
Titulaire d'un bac+5 en provenance d'une grande école d'ingénieur ou équivalent, vous justifiez d'une expérience probante en Front-end et Angular:
Maîtrise du langage JavaScript et du Framework JQuery,
Maîtrise des standards HTML5, CSS3,
Expérience sur le Framework JS ( AngularJS, React, Ember, Meteor),
Maîtrise d'un framework CSS (Bootstrap, Foundation),
Sensibilisation par rapport aux principes du responsive web design et Mobile First,
Maîtrise du test et du débuggage sur les navigateurs les plus connus (IE, Chrome, Firefox, Safari).
Une bonne communication orale et écrite en français est indispensable.",Capgemini,Casablanca
35,AD Software Engineer - Junior H/F, 30+ jours,"Détail de l'offre
Informations générales
Entité de rattachement
Nous rejoindre, c'est intégrer une entreprise d'envergure mondiale. Mû par la recherche permanente de l'innovation et de l'excellence, pionnier et leader des technologies propres et de la mobilité durable, le Groupe entend rester à la pointe des grandes tendances qui font bouger le monde.

Fort de son efficience, de son agilité et de son esprit d'équipe, le Groupe fait preuve d'exigence et d'audace pour définir la mobilité de demain.

Pour réussir ces transformations, l'entreprise a besoin de tous les talents. Rejoignez-nous !
Référence
2022-12074
Description du poste
Filière/Métier
Software & Electric and Electronics - Software & Electric and Electronics
Intitulé du poste
AD Software Engineer - Junior H/F
Contrat
CDI
Statut
Cadre
Description de la mission
The newly shaped Software Organization is currently seeking brilliant Software Engineers to join the Autonomous Driving software team.
As a Software Engineer you will be required to design and develop clean and highly scalable code for our Autonomous Driving stack. You will test your solutions on SiL, HiL, ViL and on the real vehicles, and so you will have a big impact on shaping our present and future autonomous driving products.
Profil
Basic Requirements :

Master's Degree in Computer Engineering, Computer Science, Robotics, Mechatronics or similar.
Good modern C++ programming skills
Solid command of the most common data structures and algorithms
Proficient in Linux OS
Good foundations of one or more of the following: Linear Algebra, Kinematics and Optimization
Good communication, collaboration, analytical and problem-solving skills
Fluent in English

Nice to have :
Knowledge of software design methods and latest software quality standards (MISRA, SPICE)
Knowledge of AUTOSAR classic and adaptive platform
Knowledge of Git/GitHub or other versioning tools
Knowledge of autonomous systems applications
Good command of Python
Localisation du poste
Pays
Moyen-Orient/Afrique du Nord, Maroc
Ville
CASABLANCA
Critères candidat
Niveau d'expérience min. requis
3 à 5 ans
Langues
Anglais (C1 - Courant (3,5 - 4,4 Bright))",Stellantis,Casablanca
36,Data engineer, 30+ jours,"Contribuer à la définition de la politique de la donnée et à la structuration de son cycle de vie dans le respect des réglementations en vigueur
Assurer la supervision et l’intégration des données de diverse nature qui proviennent de ces sources multiples et vérifie la qualité des données
Contribuer à l’élaboration du plan stratégique SI
Contribuer aux choix de nouvelles solutions répondant aux besoins de l'entreprise, en cohérence avec les recommandations et solutions en place, et plus globalement avec la stratégie SI
Effectuer une veille technologique du marché et promeut des solutions innovantes adaptées à l’entreprise
Domaine : Informatique / Multimédia / Internet
Fonction : Informatique - Systèmes d'Information
Contrat : A discuter
Entreprise : 3N Systèmes
Salaire : A discuter
Niveau d'études : Bac plus 5",3N Systèmes,Casablanca
37,Spare Parts Engineer, 30+ jours,"At Maersk we have a vision that’s larger than the ocean: to be a true integrator of container logistics connecting and simplifying our customers’ supply chain through global end-to-end solutions. We count on our people to make it happen.
Joining Maersk, you will become part of the global family of the company that moves 20% of global trade everyday all the way, where one of our core values is Our Employees. It goes without saying that we value diversity: we thrive on the diversity of our talent in all its forms and we see it as a strength in building high-performance teams across brands, cultures and locations.
You will have a unique opportunity to stretch your capabilities by learning from, sparring with and building lasting relationships with diverse and professional colleagues all over the world.
Would you like to play a key part in building and embedding a trusted relationship with Terminal Asset maintenance, Key Port OEMs, and Asset management community?
Would you like to join a passionate team where making a difference and personal development is in focus?
Then this unique role may be just the right one for you.
We Offer
An interesting role where you will be reporting to the Global spares’ lifecycle manager and be responsible for building / Bridging relationship with Terminal Operations by facilitating and /or leading spare parts stocking planning, SPIRs and EBOM’S for all (APM Terminals) operational equipment types.
As a spare part engineer, you will support/assist the Global Inventory and Warehouse team in driving global inventory strategy, BI development, setting standard operation processes for spare part requirements with OEMs, whilst driving- initiatives to reduce running cost, minimize stock, and optimize availability of container terminal crane equipment. You will be a key stakeholder/driver for all new build equipment acquired by APMT for planning and developing inventory strategy for all spare parts which will empower you to plan and optimise ROPs, EOQ, LOT sizes, and Safety stocks based on the asset type. To make it more exciting, you will also be accountable for driving inventory optimisation projects in close conjunction with our Reliability team, Portfolio managers, Terminal Asset maintenance and OEMs, locally, regionally and globally. For icing on the cake, you will also be working closely with the procurement teams to plan and support supply chain management of end-to-end spare parts for all our existing operational fleet.
Overall, a power packed role full of learnings, and personal growth.
PRINCIPAL ACCOUNTABILITIES
Success in this role will require you to have a zeal to make a change at a regional and global level. You are a fair knowledge of MRO, perhaps in other similar industries, Spare parts, Data analytics and modelling, and Supply chain dynamics. The right understanding of how these fit into each other and balance between them is the key. Moreover, you will:
Communicate the ‘Asset Maintenance's Inventory and Warehousing’ strategy and its relationship to Maersk and APMT mission, vision, and values; motivate people to commit to these and to do the extraordinary.
Build and maintain lifecycle spare parts stocking plans, SPIR’s and EBOM’s for all APMT operational equipment types
Drive APMT network for spare parts stocking optimisation decisions and governance, in localised terminals, regional and global locations, using data and data analytics.
Drive spare parts optimization based on analytics (ABC, FMEA, Risk based and AHP)
Have a good idea on spare part Operational visibility, identifying/defining criticality and calculating risk impact on equipment.
Maintain governance controls and feedback loops over terminal inventory order points and over stocking levels
Build and maintain master data alignment and mapping between APMT and major OEM
Spare parts technical advisory as input validation to terminal requests for order point stocking changes
Adhoc related projects as and when required.
ABOUT YOU
Experience in similar spare parts, heavy analytics role, within similar MRO industry, along with a degree in Engineering or Supply Chain is preferred. You have an analytical mind with ability to plan, organise and prioritize, you are hungry for success, dedicated and persistent. You have prior experience working with EBOMs, SPIRs and are aware of inventory optimisation concepts (ABC, XYZ, FMEA, Risk based analysis etc) and implementation (ROP, Safety stock, Lot size, EOQ etc). You understand importance of maximising equipment operational uptime and can drive competitive TCO (Total Cost of Ownership) and increase ROIC.
You are a good listener with excellent verbal and written communication skills in English, with global multicultural appreciation, and secondary language, such as Spanish, and Arabic, would be an additional benefit, but not essential.
ABOUT APMT
With 67 terminals on 5 continents, APM Terminals (APMT) operates one of the world’s largest and most comprehensive maritime port and terminal networks. United by a passion to help our customers grow their businesses, our team of 22,000 industry professionals is focused on delivering operational excellence and solutions that help build better supply chain efficiency, flexibility and reliability. By providing the expertise and port infrastructure essential to world trade, we actively support the advancement of the societies around us, enabling local economies to unlock their potential and build an even stronger global community.
A GLOBAL AND DIVERSE WORKPLACE
At APMT, the world is your workplace, and you’ll find a culturally diverse, stimulating and ambitions environment at any of our terminals and offices. APMT is part of the A.P. Moller – Maersk group, an integrated transport and logistics company with over 83,000 employees globally.
We value a culture in which everyone can feel at home. We don't just work across continents, we work across different genders, generations, cultures, sexual orientations, religions, disabilities, and perspectives. Together, we succeed as one global team. We want to encourage innovation and empower our teams to share new ways of thinking, making the most of our diverse talents. But it’s also about feeling involved and encouraged to be yourself. We are proud of our diversity and see it as an important source of strength for building high performing teams.
Have you been reading this far and tick most of the boxes? We would love to hear from you!
Spare Parts Engineer",Maersk,Tanger
38,Quality Engineer, 30+ jours,"With our strong investment in research and development and our culture of continuous improvement, Hexcel is the industry leader in the manufacturing of advance composite materials, including carbon fiber, woven reinforcements, resins, prepregs, honeycombs and additive manufactured parts. We invite you to join the Hexcel team at various manufacturing sites, sales offices and R&T centers around the globe. Become a part of the “strength within.”
Hexcel is currently seeking a Quality Engineer for our Casablanca, Morocco location.

The selected individual will be responsible for but not limited to the following obligations:
Undertake investigations, quality projects and data/statistical analysis exercises for the department to support customer and business initiatives and quality improvement.
Contribute/lead as appropriate continuous improvement and site-specific quality projects.
Support quality system and process reviews to ensure Plant QMS is robust and opportunities for improvement are addressed.
Become familiar with Hexcel software systems, global and local, used to support QC and QA with a view to assisting with problem resolution both internally and externally.
Understand and support the maintenance of site AX2012, Pilgrim and Velocity systems for customer specification requirements and internal documentation systems.
Champion ancillary tasks (including 5S, LEAN, continuous improvement, etc.) in support of the day-to-day running of the Quality Department.
Analyze technical requirements of contracts, drawings and specifications to develop plans for product quality.
Create and maintain quality documentation when required by customer or internal system.
Know and apply all applicable customer specifications and procedural requirements.
Conduct internal and external audits as required.

Qualifications:
Engineering degree in a Mechanical or Manufacturing Engineering schools
Minimum of 3 years of applicable experience in a manufacturing industry in quality department.
Hands-on troubleshooting abilities with mechanical equipment.
Strong technical analysis skills.
Lean/Six Sigma experience preferred.
Familiarity or hands-on experience with measurement and inspection equipment.
Knowledge of AS9100 and NADCAP requirements.

Candidates must be eligible to work in the country where the position is based. Hexcel (NYSE: HXL) is a global leader in advanced composites technology, a leading producer of carbon fiber, and the world leader in honeycomb manufacturing for the commercial aerospace industry.",Hexcel Corporation,Casablanca
